Lat,Long
39.12515799,-87.36199183
39.12515799,-87.36190207
39.12508836,-87.36199183
39.12508836,-87.3618123
39.12508836,-87.35786274
39.12501872,-87.36199183
39.12501872,-87.36172254
39.12501872,-87.35795251
39.12501872,-87.35786274
39.12501872,-87.35777298
39.12494908,-87.36199183
39.12494908,-87.36163278
39.12494908,-87.35804227
39.12494908,-87.35795251
39.12494908,-87.35777298
39.12487945,-87.36199183
39.12487945,-87.36154302
39.12487945,-87.35813203
39.12487945,-87.35795251
39.12487945,-87.35777298
39.12480981,-87.36199183
39.12480981,-87.36145325
39.12480981,-87.35822179
39.12480981,-87.35795251
39.12480981,-87.35777298
39.12474017,-87.36199183
39.12474017,-87.36136349
39.12474017,-87.35831156
39.12474017,-87.35795251
39.12474017,-87.35777298
39.12467054,-87.36199183
39.12467054,-87.36127373
39.12467054,-87.35840132
39.12467054,-87.35804227
39.12467054,-87.35777298
39.1246009,-87.36199183
39.1246009,-87.36118396
39.1246009,-87.35849108
39.1246009,-87.35813203
39.1246009,-87.35777298
39.12453126,-87.36199183
39.12453126,-87.3610942
39.12453126,-87.35849108
39.12453126,-87.35822179
39.12453126,-87.35777298
39.12446163,-87.36199183
39.12446163,-87.36100444
39.12446163,-87.35858084
39.12446163,-87.35831156
39.12446163,-87.35777298
39.12439199,-87.36199183
39.12439199,-87.36091468
39.12439199,-87.35867061
39.12439199,-87.35831156
39.12439199,-87.35777298
39.12432235,-87.36199183
39.12432235,-87.36082491
39.12432235,-87.35876037
39.12432235,-87.35831156
39.12432235,-87.35777298
39.12425272,-87.36199183
39.12425272,-87.36073515
39.12425272,-87.35885013
39.12425272,-87.35840132
39.12425272,-87.35777298
39.12418308,-87.36199183
39.12418308,-87.36064539
39.12418308,-87.3589399
39.12418308,-87.35849108
39.12418308,-87.35777298
39.12411344,-87.36199183
39.12411344,-87.36055562
39.12411344,-87.35902966
39.12411344,-87.35858084
39.12411344,-87.35777298
39.1240438,-87.36199183
39.1240438,-87.36046586
39.1240438,-87.35911942
39.1240438,-87.35867061
39.1240438,-87.35777298
39.12397417,-87.36199183
39.12397417,-87.3603761
39.12397417,-87.35920918
39.12397417,-87.35876037
39.12397417,-87.35777298
39.12390453,-87.36199183
39.12390453,-87.36028634
39.12390453,-87.35929895
39.12390453,-87.35885013
39.12390453,-87.35777298
39.12383489,-87.36199183
39.12383489,-87.36019657
39.12383489,-87.35938871
39.12383489,-87.35885013
39.12383489,-87.35777298
39.12376526,-87.36199183
39.12376526,-87.36010681
39.12376526,-87.35947847
39.12376526,-87.35885013
39.12376526,-87.35777298
39.12369562,-87.36199183
39.12369562,-87.36001705
39.12369562,-87.35956823
39.12369562,-87.35885013
39.12369562,-87.35768322
39.12362598,-87.36244064
39.12362598,-87.36235088
39.12362598,-87.36226112
39.12362598,-87.36199183
39.12362598,-87.35992729
39.12362598,-87.359658
39.12362598,-87.35885013
39.12362598,-87.35759345
39.12355635,-87.36235088
39.12355635,-87.36217135
39.12355635,-87.36208159
39.12355635,-87.36199183
39.12355635,-87.35983752
39.12355635,-87.35974776
39.12355635,-87.35885013
39.12355635,-87.35750369
39.12348671,-87.36226112
39.12348671,-87.36199183
39.12348671,-87.36190207
39.12348671,-87.35974776
39.12348671,-87.35885013
39.12348671,-87.35741393
39.12341707,-87.36217135
39.12341707,-87.36190207
39.12341707,-87.3618123
39.12341707,-87.35983752
39.12341707,-87.359658
39.12341707,-87.35885013
39.12341707,-87.35741393
39.12334744,-87.36208159
39.12334744,-87.36190207
39.12334744,-87.36172254
39.12334744,-87.35983752
39.12334744,-87.35956823
39.12334744,-87.35885013
39.12334744,-87.35741393
39.1232778,-87.36208159
39.1232778,-87.36190207
39.1232778,-87.36163278
39.1232778,-87.35983752
39.1232778,-87.35947847
39.1232778,-87.35885013
39.1232778,-87.35732417
39.12320816,-87.36208159
39.12320816,-87.36190207
39.12320816,-87.36154302
39.12320816,-87.35983752
39.12320816,-87.35938871
39.12320816,-87.3589399
39.12320816,-87.35732417
39.12313853,-87.36208159
39.12313853,-87.36190207
39.12313853,-87.36145325
39.12313853,-87.35983752
39.12313853,-87.35929895
39.12313853,-87.35902966
39.12313853,-87.35732417
39.12306889,-87.36208159
39.12306889,-87.36190207
39.12306889,-87.36136349
39.12306889,-87.35992729
39.12306889,-87.35920918
39.12306889,-87.35911942
39.12306889,-87.35732417
39.12299925,-87.36208159
39.12299925,-87.36190207
39.12299925,-87.36127373
39.12299925,-87.36001705
39.12299925,-87.35911942
39.12299925,-87.35732417
39.12292962,-87.36208159
39.12292962,-87.36190207
39.12292962,-87.36118396
39.12292962,-87.36010681
39.12292962,-87.35911942
39.12292962,-87.35902966
39.12292962,-87.3572344
39.12285998,-87.36208159
39.12285998,-87.36190207
39.12285998,-87.3610942
39.12285998,-87.36010681
39.12285998,-87.35920918
39.12285998,-87.3589399
39.12285998,-87.3572344
39.12279034,-87.36208159
39.12279034,-87.36190207
39.12279034,-87.36100444
39.12279034,-87.36010681
39.12279034,-87.35929895
39.12279034,-87.35885013
39.12279034,-87.35714464
39.1227207,-87.36315874
39.1227207,-87.36208159
39.1227207,-87.36190207
39.1227207,-87.36091468
39.1227207,-87.36019657
39.1227207,-87.35929895
39.1227207,-87.35876037
39.1227207,-87.35705488
39.12265107,-87.36315874
39.12265107,-87.36306898
39.12265107,-87.36208159
39.12265107,-87.36190207
39.12265107,-87.36082491
39.12265107,-87.36073515
39.12265107,-87.36028634
39.12265107,-87.35938871
39.12265107,-87.35867061
39.12265107,-87.35696512
39.12258143,-87.36306898
39.12258143,-87.36297922
39.12258143,-87.36208159
39.12258143,-87.36190207
39.12258143,-87.36064539
39.12258143,-87.36055562
39.12258143,-87.36028634
39.12258143,-87.35947847
39.12258143,-87.35858084
39.12258143,-87.35687535
39.12251179,-87.36306898
39.12251179,-87.36288946
39.12251179,-87.36208159
39.12251179,-87.36190207
39.12251179,-87.36046586
39.12251179,-87.3603761
39.12251179,-87.35956823
39.12251179,-87.35849108
39.12251179,-87.35678559
39.12244216,-87.36306898
39.12244216,-87.36279969
39.12244216,-87.36208159
39.12244216,-87.36190207
39.12244216,-87.36046586
39.12244216,-87.3603761
39.12244216,-87.359658
39.12244216,-87.35840132
39.12244216,-87.35669583
39.12237252,-87.36297922
39.12237252,-87.36270993
39.12237252,-87.36199183
39.12237252,-87.36190207
39.12237252,-87.36046586
39.12237252,-87.36028634
39.12237252,-87.36019657
39.12237252,-87.36010681
39.12237252,-87.36001705
39.12237252,-87.35992729
39.12237252,-87.35983752
39.12237252,-87.35974776
